Theory	SID	TID	Binding	NLSentence	OrigSentences	Triple/RuleIDs	Triples/Rule
AttNoneg1-theory	sent1	207	Alan	Alan's skin turned blue and green in a lab accident.  Despite his outward appearance, he is really nice.	Alan is nice. Alan is green. Alan is blue. 	triple1 triple2 triple3 	("Alan" "is" "nice" "+") ("Alan" "is" "green" "+") ("Alan" "is" "blue" "+") 
AttNoneg1-theory	sent2	572	Charlie	Charlie is rough and is blue, but that's because he's big and round in a small and square world.	Charlie is round. Charlie is rough. Charlie is blue. Charlie is big. 	triple4 triple5 triple6 triple7 	("Charlie" "is" "round" "+") ("Charlie" "is" "rough" "+") ("Charlie" "is" "blue" "+") ("Charlie" "is" "big" "+") 
AttNoneg1-theory	sent3	475	Dave	Young Dave got into a fight that left him with red sores on his face.	Dave is young. Dave is red. 	triple8 triple9 	("Dave" "is" "young" "+") ("Dave" "is" "red" "+") 
AttNoneg1-theory	sent4	540	Gary	Gary is kind and round. Being round makes him a bit blue.	Gary is round. Gary is kind. Gary is blue. 	triple10 triple11 triple12 	("Gary" "is" "round" "+") ("Gary" "is" "kind" "+") ("Gary" "is" "blue" "+") 
AttNoneg1-theory	sent5	684		Someone who looks rough and feels cold is also kind to others.	If someone is rough and cold then they are kind.	rule1	((("someone" "is" "rough" "+") ("someone" "is" "cold" "+")) -> ("someone" "is" "kind" "+"))
AttNoneg1-theory	sent6	840		This person is nice and young, also round, which makes them cold.	If someone is young and nice and round then they are cold.	rule2	((("someone" "is" "young" "+") ("someone" "is" "nice" "+") ("someone" "is" "round" "+")) -> ("someone" "is" "cold" "+"))
AttNoneg1-theory	sent7	1575		Big, kind, and nice people are often red in color.	If someone is big and kind and nice then they are red.	rule3	((("someone" "is" "big" "+") ("someone" "is" "kind" "+") ("someone" "is" "nice" "+")) -> ("someone" "is" "red" "+"))
AttNoneg1-theory	sent8	1967		A big person that is tattooed blue will be very nice.	If someone is big and blue then they are nice.	rule4	((("someone" "is" "big" "+") ("someone" "is" "blue" "+")) -> ("someone" "is" "nice" "+"))
AttNoneg1-theory	sent9	1975		People who are red and green are also nice.	If someone is green and red then they are nice.	rule5	((("someone" "is" "green" "+") ("someone" "is" "red" "+")) -> ("someone" "is" "nice" "+"))
AttNoneg1-theory	sent10	2028		When you meet kind people they wont have a cold heart.	If someone is kind then they are cold.	rule6	((("someone" "is" "kind" "+")) -> ("someone" "is" "cold" "+"))
AttNoneg1-theory	sent11	2256		Round, nice people are normally cold and nasty.	If someone is round and nice then they are cold.	rule7	((("someone" "is" "round" "+") ("someone" "is" "nice" "+")) -> ("someone" "is" "cold" "+"))

AttNoneg2-theory	sent1	475	Alan	Young Alan got into a fight that left him with red sores on his face.	Alan is young. Alan is red. 	triple1 triple2 	("Alan" "is" "young" "+") ("Alan" "is" "red" "+") 
AttNoneg2-theory	sent2	423	Charlie	They always call him rough Charlie.	Charlie is rough. 	triple3 	("Charlie" "is" "rough" "+") 
AttNoneg2-theory	sent3	469	Fred	Fred is round shaped and green colored.	Fred is round. Fred is green. 	triple4 triple5 	("Fred" "is" "round" "+") ("Fred" "is" "green" "+") 
AttNoneg2-theory	sent4	490	Gary	If you met Gary you would find him nice, blue, cold and quite big.	Gary is nice. Gary is cold. Gary is blue. Gary is big. 	triple6 triple7 triple8 triple9 	("Gary" "is" "nice" "+") ("Gary" "is" "cold" "+") ("Gary" "is" "blue" "+") ("Gary" "is" "big" "+") 
AttNoneg2-theory	sent5	1004		It's a fact that young people are red people.	If someone is young then they are red.	rule1	((("someone" "is" "young" "+")) -> ("someone" "is" "red" "+"))
AttNoneg2-theory	sent6	1206		When someone is young they can be nice and kind, but green in society.	If someone is kind and nice and young then they are green.	rule2	((("someone" "is" "kind" "+") ("someone" "is" "nice" "+") ("someone" "is" "young" "+")) -> ("someone" "is" "green" "+"))
AttNoneg2-theory	sent7	1402		People that feel green are cold to people that try to help them.	If someone is green then they are cold.	rule3	((("someone" "is" "green" "+")) -> ("someone" "is" "cold" "+"))
AttNoneg2-theory	sent8	1573		Round green people usually feel blue.	If someone is round and green then they are blue.	rule4	((("someone" "is" "round" "+") ("someone" "is" "green" "+")) -> ("someone" "is" "blue" "+"))
AttNoneg2-theory	sent9	1622		You will discover that green rough people are always red.	If someone is green and rough then they are red.	rule5	((("someone" "is" "green" "+") ("someone" "is" "rough" "+")) -> ("someone" "is" "red" "+"))
AttNoneg2-theory	sent10	1937		A person with the qualities of being cold and being red will also be a person that is green.	If someone is cold and red then they are green.	rule6	((("someone" "is" "cold" "+") ("someone" "is" "red" "+")) -> ("someone" "is" "green" "+"))
AttNoneg2-theory	sent11	2153		When a person is blue, cold, and nice, they are also pretty young too.	If someone is blue and cold and nice then they are young.	rule7	((("someone" "is" "blue" "+") ("someone" "is" "cold" "+") ("someone" "is" "nice" "+")) -> ("someone" "is" "young" "+"))

AttNoneg3-theory	sent1	630	Charlie	Charlie is big and round. Because of how young and green he is, Charlie is still kind.	Charlie is young. Charlie is round. Charlie is kind. Charlie is green. Charlie is big. 	triple1 triple2 triple3 triple4 triple5 	("Charlie" "is" "young" "+") ("Charlie" "is" "round" "+") ("Charlie" "is" "kind" "+") ("Charlie" "is" "green" "+") ("Charlie" "is" "big" "+") 
AttNoneg3-theory	sent2	627	Dave	Red Dave is what folks call him, because he is quite red.	Dave is red. 	triple6 	("Dave" "is" "red" "+") 
AttNoneg3-theory	sent3	52	Gary	Gary has a round face and is very nice.	Gary is round. Gary is nice. 	triple7 triple8 	("Gary" "is" "round" "+") ("Gary" "is" "nice" "+") 
AttNoneg3-theory	sent4	627	Harry	Red Harry is what folks call him, because he is quite red.	Harry is red. 	triple9 	("Harry" "is" "red" "+") 
AttNoneg3-theory	sent5	701		Being round and nice automatically means a person is kind.	If someone is round and nice then they are kind.	rule1	((("someone" "is" "round" "+") ("someone" "is" "nice" "+")) -> ("someone" "is" "kind" "+"))
AttNoneg3-theory	sent6	1135		Big people who are round in stature and also feel rough are often cold to other people.	If someone is big and rough and round then they are cold.	rule2	((("someone" "is" "big" "+") ("someone" "is" "rough" "+") ("someone" "is" "round" "+")) -> ("someone" "is" "cold" "+"))
AttNoneg3-theory	sent7	1238		Any big, kind person that turns red is cold to the touch.	If someone is red and big and kind then they are cold.	rule3	((("someone" "is" "red" "+") ("someone" "is" "big" "+") ("someone" "is" "kind" "+")) -> ("someone" "is" "cold" "+"))
AttNoneg3-theory	sent8	1420		People who are round and young are also very nice.	If someone is round and young then they are nice.	rule4	((("someone" "is" "round" "+") ("someone" "is" "young" "+")) -> ("someone" "is" "nice" "+"))
AttNoneg3-theory	sent9	1486		A nice and kind natured person that is big in shape will be rough.	If someone is nice and big and kind then they are rough.	rule5	((("someone" "is" "nice" "+") ("someone" "is" "big" "+") ("someone" "is" "kind" "+")) -> ("someone" "is" "rough" "+"))
AttNoneg3-theory	sent10	2133		People with rough red and blue skin are young.	If someone is rough and red and blue then they are young.	rule6	((("someone" "is" "rough" "+") ("someone" "is" "red" "+") ("someone" "is" "blue" "+")) -> ("someone" "is" "young" "+"))

AttNoneg4-theory	sent1	174	Bob	Blue and green Bob is so kind he snowplows the neighbors driveways and everyone thanks him with beer.	Bob is kind. Bob is green. Bob is blue. 	triple1 triple2 triple3 	("Bob" "is" "kind" "+") ("Bob" "is" "green" "+") ("Bob" "is" "blue" "+") 
AttNoneg4-theory	sent2	621	Charlie	When you talk about Charlie, the first thing you notice is his rough and cold demeanor and then when you talk to him you find out how very nice he really is to everyone.	Charlie is rough. Charlie is nice. Charlie is cold. 	triple4 triple5 triple6 	("Charlie" "is" "rough" "+") ("Charlie" "is" "nice" "+") ("Charlie" "is" "cold" "+") 
AttNoneg4-theory	sent3	119	Eric	Eric who is considered nice was feeling rather rough today.	Eric is rough. Eric is nice. 	triple7 triple8 	("Eric" "is" "rough" "+") ("Eric" "is" "nice" "+") 
AttNoneg4-theory	sent4	216	Gary	Being young, Gary is still green and blue.	Gary is young. Gary is green. Gary is blue. 	triple9 triple10 triple11 	("Gary" "is" "young" "+") ("Gary" "is" "green" "+") ("Gary" "is" "blue" "+") 
AttNoneg4-theory	sent5	866		A blue person who is feeling a bit rough and cold will be wearing red.	If someone is blue and cold and rough then they are red.	rule1	((("someone" "is" "blue" "+") ("someone" "is" "cold" "+") ("someone" "is" "rough" "+")) -> ("someone" "is" "red" "+"))
AttNoneg4-theory	sent6	1405		Green people will be nice even when they have been rough.	If someone is green and nice then they are rough.	rule2	((("someone" "is" "green" "+") ("someone" "is" "nice" "+")) -> ("someone" "is" "rough" "+"))
AttNoneg4-theory	sent7	1716		People who are rough and nice and blue can be round.	If someone is rough and nice and blue then they are round.	rule3	((("someone" "is" "rough" "+") ("someone" "is" "nice" "+") ("someone" "is" "blue" "+")) -> ("someone" "is" "round" "+"))
AttNoneg4-theory	sent8	1722		People feeling green and blue are somewhat nice.	If someone is green and blue then they are nice.	rule4	((("someone" "is" "green" "+") ("someone" "is" "blue" "+")) -> ("someone" "is" "nice" "+"))
AttNoneg4-theory	sent9	1916		There are so many rough, young people and for some reason they are all big too.	If someone is young and rough then they are big.	rule5	((("someone" "is" "young" "+") ("someone" "is" "rough" "+")) -> ("someone" "is" "big" "+"))
AttNoneg4-theory	sent10	2163		People who are nice and rough are looked at as kind.	If someone is nice and rough then they are kind.	rule6	((("someone" "is" "nice" "+") ("someone" "is" "rough" "+")) -> ("someone" "is" "kind" "+"))

AttNoneg5-theory	sent1	407	Charlie	Charlie is rough and cold, but he's young and will get over it.	Charlie is young. Charlie is rough. Charlie is cold. 	triple1 triple2 triple3 	("Charlie" "is" "young" "+") ("Charlie" "is" "rough" "+") ("Charlie" "is" "cold" "+") 
AttNoneg5-theory	sent2	305	Dave	Dave was looking rather round and feeling rather cold, but people thought he is kind.	Dave is round. Dave is kind. Dave is cold. 	triple4 triple5 triple6 	("Dave" "is" "round" "+") ("Dave" "is" "kind" "+") ("Dave" "is" "cold" "+") 
AttNoneg5-theory	sent3	423	Eric	They always call him rough Eric.	Eric is rough. 	triple7 	("Eric" "is" "rough" "+") 
AttNoneg5-theory	sent4	526	Gary	Gary is big and tends to wear red shirts.	Gary is red. Gary is big. 	triple8 triple9 	("Gary" "is" "red" "+") ("Gary" "is" "big" "+") 
AttNoneg5-theory	sent5	890		Big, young people feel cold all the time.	If someone is young and big then they are cold.	rule1	((("someone" "is" "young" "+") ("someone" "is" "big" "+")) -> ("someone" "is" "cold" "+"))
AttNoneg5-theory	sent6	914		People who are green and blue tend to be round in shape.	If someone is green and blue then they are round.	rule2	((("someone" "is" "green" "+") ("someone" "is" "blue" "+")) -> ("someone" "is" "round" "+"))
AttNoneg5-theory	sent7	991		People who are rough are young.	If someone is rough then they are young.	rule3	((("someone" "is" "rough" "+")) -> ("someone" "is" "young" "+"))
AttNoneg5-theory	sent8	1075		All the big and young boys at the park are red.	If someone is big and young then they are red.	rule4	((("someone" "is" "big" "+") ("someone" "is" "young" "+")) -> ("someone" "is" "red" "+"))
AttNoneg5-theory	sent9	1916		There are so many rough, young people and for some reason they are all big too.	If someone is young and rough then they are big.	rule5	((("someone" "is" "young" "+") ("someone" "is" "rough" "+")) -> ("someone" "is" "big" "+"))
AttNoneg5-theory	sent10	2001		Blue, kind, and cold people are habitually rough.	If someone is blue and kind and cold then they are rough.	rule6	((("someone" "is" "blue" "+") ("someone" "is" "kind" "+") ("someone" "is" "cold" "+")) -> ("someone" "is" "rough" "+"))
AttNoneg5-theory	sent11	2338		Kind people, for example, like the ones at the bank are always blue.	If someone is kind then they are blue.	rule7	((("someone" "is" "kind" "+")) -> ("someone" "is" "blue" "+"))

AttNoneg6-theory	sent1	462	Alan	Alan appears green and blue, he is also rather round and kind.	Alan is round. Alan is kind. Alan is green. Alan is blue. 	triple1 triple2 triple3 triple4 	("Alan" "is" "round" "+") ("Alan" "is" "kind" "+") ("Alan" "is" "green" "+") ("Alan" "is" "blue" "+") 
AttNoneg6-theory	sent2	563	Bob	Bob who is big in stature and round in shape is kind even when he feels cold or rough due to sunburn turning him red.	Bob is round. Bob is rough. Bob is red. Bob is kind. Bob is cold. Bob is big. 	triple5 triple6 triple7 triple8 triple9 triple10 	("Bob" "is" "round" "+") ("Bob" "is" "rough" "+") ("Bob" "is" "red" "+") ("Bob" "is" "kind" "+") ("Bob" "is" "cold" "+") ("Bob" "is" "big" "+") 
AttNoneg6-theory	sent3	526	Harry	Harry is big and tends to wear red shirts.	Harry is red. Harry is big. 	triple11 triple12 	("Harry" "is" "red" "+") ("Harry" "is" "big" "+") 
AttNoneg6-theory	sent4	792		Santa Claus is red and kind. He is also very nice, especially to children.	If someone is red and kind then they are nice.	rule1	((("someone" "is" "red" "+") ("someone" "is" "kind" "+")) -> ("someone" "is" "nice" "+"))
AttNoneg6-theory	sent5	1002		Any human being with green, big, kind eyes, also has round eyes.	If someone is green and big and kind then they are round.	rule2	((("someone" "is" "green" "+") ("someone" "is" "big" "+") ("someone" "is" "kind" "+")) -> ("someone" "is" "round" "+"))
AttNoneg6-theory	sent6	1144		A nice and blue person who's also red will be a rough person.	If someone is blue and nice and red then they are rough.	rule3	((("someone" "is" "blue" "+") ("someone" "is" "nice" "+") ("someone" "is" "red" "+")) -> ("someone" "is" "rough" "+"))
AttNoneg6-theory	sent7	1278		Despite being too big with bright green skin and freezing cold, these people have always been kind.	If someone is big and green and cold then they are kind.	rule4	((("someone" "is" "big" "+") ("someone" "is" "green" "+") ("someone" "is" "cold" "+")) -> ("someone" "is" "kind" "+"))
AttNoneg6-theory	sent8	1977		People who are young and green are also kind.	If someone is young and green then they are kind.	rule5	((("someone" "is" "young" "+") ("someone" "is" "green" "+")) -> ("someone" "is" "kind" "+"))
AttNoneg6-theory	sent9	2011		Blue people round with fat are red from too much time in the sun.	If someone is blue and round then they are red.	rule6	((("someone" "is" "blue" "+") ("someone" "is" "round" "+")) -> ("someone" "is" "red" "+"))
AttNoneg6-theory	sent10	2153		When a person is blue, cold, and nice, they are also pretty young too.	If someone is blue and cold and nice then they are young.	rule7	((("someone" "is" "blue" "+") ("someone" "is" "cold" "+") ("someone" "is" "nice" "+")) -> ("someone" "is" "young" "+"))

AttNoneg7-theory	sent1	35	Bob	Bob always goes out of his way to show that he is kind to people.	Bob is kind. 	triple1 	("Bob" "is" "kind" "+") 
AttNoneg7-theory	sent2	423	Charlie	They always call him rough Charlie.	Charlie is rough. 	triple2 	("Charlie" "is" "rough" "+") 
